Date,LocationISOCode,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,LocationLevel,CityorRegency,Province,Country,Continent,Island,TimeZone,SpecialStatus,TotalRegencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeathsperMillion,TotalDeathsperMillion,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
4,ID-SB,Sumatera Barat,13,0,3,10,987,34,773,180,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7,179,230,928,42013,5519245,131.37,100.4650624,-0.850253225,2.36,178.83,0.00,6.16,3.44%,78.32%,0.76,1.00
4,ID-SS,Sumatera Selatan,35,0,26,9,3490,169,1890,1431,Province,,Sumatera Selatan,Indonesia,Asia,Sumatera,UTC+07:00,,13,4,241,387,2853,91592,8217551,89.72,104.1694647,-3.216211808,4.26,424.70,0.00,20.57,4.84%,54.15%,3.18,0.00
4,ID-SU,Sumatera Utara,68,6,64,-2,4261,209,1717,2335,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,4.57,286.46,0.40,14.05,4.90%,40.30%,1.19,3.00
5,ID-AC,Aceh,2,1,0,1,442,20,91,331,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,0.38,84.23,0.19,3.81,4.52%,20.59%,0.29,
5,ID-BA,Bali,39,0,45,-6,3617,48,3130,439,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,9.25,857.89,0.00,11.38,1.33%,86.54%,0.80,1.00
5,ID-BT,Banten,23,0,5,18,1947,93,1427,427,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,2.15,181.58,0.00,8.67,4.78%,73.29%,0.70,0.00
5,ID-BE,Bengkulu,1,0,17,-16,239,20,139,80,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,0.50,119.53,0.00,10.00,8.37%,58.16%,0.33,0.00
5,ID-JK,DKI Jakarta,354,14,379,-39,23380,888,14759,7733,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,32.64,2155.60,1.29,81.87,3.80%,63.13%,0.86,1.00
5,ID-YO,Daerah Istimewa Yogyakarta,17,0,29,-12,801,21,476,304,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,4.68,220.60,0.00,5.78,2.62%,59.43%,1.42,1.00
5,ID-GO,Gorontalo,40,0,31,9,1427,37,794,596,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,33.88,1208.66,0.00,31.34,2.59%,55.64%,0.62,0.00
5,ID-JA,Jambi,5,0,0,5,193,4,116,73,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,1.43,55.25,0.00,1.15,2.07%,60.10%,0.26,1.00
5,ID-JB,Jawa Barat,124,0,9,115,6903,216,4216,2471,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,2.75,152.85,0.00,4.78,3.13%,61.07%,1.33,0.00
5,ID-JT,Jawa Tengah,149,15,154,-20,10036,681,6134,3221,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,4.10,275.99,0.41,18.73,6.79%,61.12%,2.48,15.00
5,ID-JI,Jawa Timur,417,18,390,9,23829,1799,16307,5723,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,10.30,588.68,0.44,44.44,7.55%,68.43%,0.97,0.45
5,ID-KB,Kalimantan Barat,0,0,0,0,387,4,371,12,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2,174,99,2031,147307,5422814,36.81,111.1211776,-0.086474572,0.00,71.37,0.00,0.74,1.03%,95.87%,1.00,1.00
5,ID-KS,Kalimantan Selatan,54,0,96,-42,6411,298,3705,2408,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2,153,144,1864,38744,4023049,103.84,115.4385783,-2.993594979,13.42,1593.57,0.00,74.07,4.65%,57.79%,0.45,0.00
5,ID-KT,Kalimantan Tengah,5,0,27,-22,1849,91,1305,453,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1,136,139,1432,153565,2570289,16.74,113.4176536,-1.602484653,1.95,719.37,0.00,35.40,4.92%,70.58%,0.09,1.00
5,ID-KI,Kalimantan Timur,67,0,56,11,1665,41,1032,592,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,18.86,468.72,0.00,11.54,2.46%,61.98%,1.12,0.00
5,ID-KU,Kalimantan Utara,0,0,0,0,287,2,265,20,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1,53,35,447,75468,648407,8.59,116.2188791,2.891012621,0.00,442.62,0.00,3.08,0.70%,92.33%,0.00,1.00
5,ID-BB,Kepulauan Bangka Belitung,1,0,7,-6,197,2,182,13,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1,47,82,309,16424,1379767,84.01,106.5499324,-2.447444127,0.72,142.78,0.00,1.45,1.02%,92.39%,,1.00
5,ID-KR,Kepulauan Riau,7,3,0,4,500,23,321,156,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,3.63,259.15,1.55,11.92,4.60%,64.20%,,
5,ID-LA,Lampung,1,0,3,-2,298,13,215,70,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.70,105.0214366,-4.916792975,0.11,32.76,0.00,1.43,4.36%,72.15%,,1.00
5,ID-MA,Maluku,29,0,12,17,1175,23,768,384,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,15.70,636.13,0.00,12.45,1.96%,65.36%,2.64,1.00
5,ID-MU,Maluku Utara,7,0,201,-194,1585,50,762,773,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2,116,118,1063,31983,1307803,40.89,127.5391072,0.212036949,5.35,1211.96,0.00,38.23,3.15%,48.08%,1.17,1.00
