Date,LocationISOCode,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,LocationLevel,CityorRegency,Province,Country,Continent,Island,TimeZone,SpecialStatus,TotalRegencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeathsperMillion,TotalDeathsperMillion,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
7,ID-BT,Banten,34,0,9,25,2013,94,1464,455,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,3.17,187.74,0.00,8.77,4.67%,72.73%,1.06,0.00
7,ID-BE,Bengkulu,0,0,13,-13,240,20,152,68,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,0.00,120.03,0.00,10.00,8.33%,63.33%,0.00,1.00
7,ID-JK,DKI Jakarta,665,12,196,457,24601,913,15201,8487,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,61.31,2268.18,1.11,84.18,3.71%,61.79%,1.20,0.92
7,ID-YO,Daerah Istimewa Yogyakarta,19,0,29,-10,838,21,525,292,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,5.23,230.79,0.00,5.78,2.51%,62.65%,1.06,1.00
7,ID-GO,Gorontalo,38,0,102,-64,1469,37,1017,415,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,32.19,1244.23,0.00,31.34,2.52%,69.23%,9.50,1.00
7,ID-JA,Jambi,12,0,1,11,205,4,117,84,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,3.44,58.68,0.00,1.15,1.95%,57.07%,,1.00
7,ID-JB,Jawa Barat,151,4,63,84,7137,221,4311,2605,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,3.34,158.03,0.09,4.89,3.10%,60.40%,1.82,4.00
7,ID-JT,Jawa Tengah,232,8,195,29,10383,709,6503,3171,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,6.38,285.53,0.22,19.50,6.83%,62.63%,2.02,0.40
7,ID-JI,Jawa Timur,378,17,489,-128,24493,1834,17261,5398,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,9.34,605.08,0.42,45.31,7.49%,70.47%,1.32,0.94
7,ID-KB,Kalimantan Barat,3,0,3,0,397,4,374,19,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2,174,99,2031,147307,5422814,36.81,111.1211776,-0.086474572,0.55,73.21,0.00,0.74,1.01%,94.21%,0.43,1.00
7,ID-KS,Kalimantan Selatan,57,3,121,-67,6535,301,3851,2383,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2,153,144,1864,38744,4023049,103.84,115.4385783,-2.993594979,14.17,1624.39,0.75,74.82,4.61%,58.93%,0.85,
7,ID-KT,Kalimantan Tengah,37,1,25,11,1911,96,1337,478,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1,136,139,1432,153565,2570289,16.74,113.4176536,-1.602484653,14.40,743.50,0.39,37.35,5.02%,69.96%,1.48,0.25
7,ID-KI,Kalimantan Timur,98,4,58,36,1799,46,1136,617,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,27.59,506.45,1.13,12.95,2.56%,63.15%,2.72,4.00
7,ID-KU,Kalimantan Utara,0,0,0,0,291,2,265,24,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1,53,35,447,75468,648407,8.59,116.2188791,2.891012621,0.00,448.79,0.00,3.08,0.69%,91.07%,0.00,1.00
7,ID-BB,Kepulauan Bangka Belitung,3,0,3,0,200,2,185,13,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1,47,82,309,16424,1379767,84.01,106.5499324,-2.447444127,2.17,144.95,0.00,1.45,1.00%,92.50%,,1.00
7,ID-KR,Kepulauan Riau,17,0,1,16,517,23,322,172,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,8.81,267.96,0.00,11.92,4.45%,62.28%,,1.00
7,ID-LA,Lampung,4,0,2,2,303,13,221,69,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.70,105.0214366,-4.916792975,0.44,33.31,0.00,1.43,4.29%,72.94%,4.00,1.00
7,ID-MA,Maluku,71,0,7,64,1292,25,786,481,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,38.44,699.48,0.00,13.53,1.93%,60.84%,1.54,0.00
7,ID-MU,Maluku Utara,31,0,4,27,1623,50,854,719,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2,116,118,1063,31983,1307803,40.89,127.5391072,0.212036949,23.70,1241.01,0.00,38.23,3.08%,52.62%,4.43,1.00
7,ID-NB,Nusa Tenggara Barat,15,0,27,-12,2239,122,1405,712,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2,117,145,995,18572,5270247,283.77,117.5086257,-8.606998866,2.85,424.84,0.00,23.15,5.45%,62.75%,0.56,0.00
7,ID-NT,Nusa Tenggara Timur,0,0,1,-1,152,1,130,21,Province,,Nusa Tenggara Timur,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1,309,327,3026,48718,5411321,111.07,121.592271,-8.682205,0.00,28.09,0.00,0.18,0.66%,85.53%,1.00,1.00
7,ID-PA,Papua,22,0,223,-201,3214,34,1743,1437,Province,,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1,560,110,5411,319036,4340348,13.60,138.69603,-4.66620953,5.07,740.49,0.00,7.83,1.06%,54.23%,1.29,0.00
7,ID-PB,Papua Barat,44,0,6,38,536,6,350,180,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1,218,95,1742,102955,1140701,11.08,132.9762624,-2.045160182,38.57,469.89,0.00,5.26,1.12%,65.30%,4.00,1.00
7,ID-RI,Riau,35,0,9,26,656,13,368,275,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,5.76,108.00,0.00,2.14,1.98%,56.10%,2.33,1.00
7,ID-SR,Sulawesi Barat,2,0,7,-5,267,5,158,104,Province,,Sulawesi Barat,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73,575,16787,1559984,92.93,119.3450194,-2.461746053,1.28,171.16,0.00,3.21,1.87%,59.18%,0.10,1.00
7,ID-SN,Sulawesi Selatan,88,4,74,10,10257,332,7083,2842,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,9.34,1088.06,0.42,35.22,3.24%,69.06%,0.48,4.00
7,ID-ST,Sulawesi Tengah,1,0,1,0,216,7,195,14,Province,,Sulawesi Tengah,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1,175,175,1842,61841,2955567,47.79,121.2010927,-1.00413668,0.34,73.08,0.00,2.37,3.24%,90.28%,,1.00
7,ID-SG,Sulawesi Tenggara,27,0,14,13,978,16,678,284,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,10.24,371.09,0.00,6.07,1.64%,69.33%,0.46,1.00
7,ID-SA,Sulawesi Utara,18,3,30,-15,2840,138,1487,1215,Province,,Sulawesi Utara,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4,171,332,1507,13892,2641884,190.17,124.5212396,1.259638212,6.81,1074.99,1.14,52.24,4.86%,52.36%,0.64,3.00
7,ID-SB,Sumatera Barat,41,0,10,31,1079,34,797,248,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7,179,230,928,42013,5519245,131.37,100.4650624,-0.850253225,7.43,195.50,0.00,6.16,3.15%,73.86%,1.28,1.00
7,ID-SS,Sumatera Selatan,21,4,90,-73,3623,183,2099,1341,Province,,Sumatera Selatan,Indonesia,Asia,Sumatera,UTC+07:00,,13,4,241,387,2853,91592,8217551,89.72,104.1694647,-3.216211808,2.56,440.89,0.49,22.27,5.05%,57.94%,0.42,1.00
7,ID-SU,Sumatera Utara,216,9,52,155,4693,221,1912,2560,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,14.52,315.50,0.61,14.86,4.71%,40.74%,2.51,9.00
8,ID-AC,Aceh,0,0,0,0,536,20,91,425,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,0.00,102.15,0.00,3.81,3.73%,16.98%,0.00,1.00
8,ID-BA,Bali,38,0,32,6,3720,49,3240,431,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,9.01,882.32,0.00,11.62,1.32%,87.10%,1.00,0.00
8,ID-BT,Banten,22,2,9,11,2035,96,1473,466,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,2.05,189.79,0.19,8.95,4.72%,72.38%,0.65,
8,ID-BE,Bengkulu,3,1,0,2,243,21,152,70,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,1.50,121.53,0.50,10.50,8.64%,62.55%,,
8,ID-JK,DKI Jakarta,686,11,509,166,25287,924,15710,8653,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,63.25,2331.43,1.01,85.19,3.65%,62.13%,1.03,0.92
8,ID-YO,Daerah Istimewa Yogyakarta,16,2,27,-13,854,23,552,279,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,4.41,235.20,0.55,6.33,2.69%,64.64%,0.84,
8,ID-GO,Gorontalo,80,0,98,-18,1549,37,1115,397,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,67.76,1311.99,0.00,31.34,2.39%,71.98%,2.11,1.00
8,ID-JA,Jambi,5,0,0,5,210,4,117,89,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,1.43,60.11,0.00,1.15,1.90%,55.71%,0.42,1.00
8,ID-JB,Jawa Barat,242,3,40,199,7379,224,4351,2804,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,5.36,163.39,0.07,4.96,3.04%,58.96%,1.60,0.75
8,ID-JT,Jawa Tengah,88,11,68,9,10471,720,6571,3180,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,2.42,287.95,0.30,19.80,6.88%,62.75%,0.38,1.38
8,ID-JI,Jawa Timur,429,22,464,-57,24922,1856,17725,5341,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,10.60,615.68,0.54,45.85,7.45%,71.12%,1.13,1.29
8,ID-KB,Kalimantan Barat,0,0,0,0,397,4,374,19,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2,174,99,2031,147307,5422814,36.81,111.1211776,-0.086474572,0.00,73.21,0.00,0.74,1.01%,94.21%,0.00,1.00
8,ID-KS,Kalimantan Selatan,82,2,42,38,6617,303,3893,2421,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2,153,144,1864,38744,4023049,103.84,115.4385783,-2.993594979,20.38,1644.77,0.50,75.32,4.58%,58.83%,1.44,0.67
8,ID-KT,Kalimantan Tengah,66,0,40,26,1977,96,1377,504,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1,136,139,1432,153565,2570289,16.74,113.4176536,-1.602484653,25.68,769.17,0.00,37.35,4.86%,69.65%,1.78,0.00
8,ID-KI,Kalimantan Timur,35,1,28,6,1834,47,1164,623,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,9.85,516.30,0.28,13.23,2.56%,63.47%,0.36,0.25
8,ID-KU,Kalimantan Utara,1,0,0,1,292,2,265,25,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1,53,35,447,75468,648407,8.59,116.2188791,2.891012621,1.54,450.33,0.00,3.08,0.68%,90.75%,,1.00
8,ID-BB,Kepulauan Bangka Belitung,0,0,3,-3,200,2,188,10,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1,47,82,309,16424,1379767,84.01,106.5499324,-2.447444127,0.00,144.95,0.00,1.45,1.00%,94.00%,0.00,1.00
8,ID-KR,Kepulauan Riau,9,0,0,9,526,23,322,181,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,4.66,272.62,0.00,11.92,4.37%,61.22%,0.53,1.00
8,ID-LA,Lampung,4,0,5,-1,307,13,226,68,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.70,105.0214366,-4.916792975,0.44,33.75,0.00,1.43,4.23%,73.62%,1.00,1.00
8,ID-MA,Maluku,6,0,4,2,1298,25,790,483,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,3.25,702.72,0.00,13.53,1.93%,60.86%,0.08,1.00
8,ID-MU,Maluku Utara,47,0,0,47,1670,50,854,766,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2,116,118,1063,31983,1307803,40.89,127.5391072,0.212036949,35.94,1276.95,0.00,38.23,2.99%,51.14%,1.52,1.00
8,ID-NB,Nusa Tenggara Barat,24,1,8,15,2263,123,1413,727,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2,117,145,995,18572,5270247,283.77,117.5086257,-8.606998866,4.55,429.39,0.19,23.34,5.44%,62.44%,1.60,
8,ID-NT,Nusa Tenggara Timur,0,0,0,0,152,1,130,21,Province,,Nusa Tenggara Timur,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1,309,327,3026,48718,5411321,111.07,121.592271,-8.682205,0.00,28.09,0.00,0.18,0.66%,85.53%,1.00,1.00
8,ID-PA,Papua,0,1,0,-1,3214,35,1743,1436,Province,,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1,560,110,5411,319036,4340348,13.60,138.69603,-4.66620953,0.00,740.49,0.23,8.06,1.09%,54.23%,0.00,
8,ID-PB,Papua Barat,15,0,12,3,551,6,362,183,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1,218,95,1742,102955,1140701,11.08,132.9762624,-2.045160182,13.15,483.04,0.00,5.26,1.09%,65.70%,0.34,1.00
8,ID-RI,Riau,50,0,5,45,706,13,373,320,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,8.23,116.23,0.00,2.14,1.84%,52.83%,1.43,1.00
8,ID-SR,Sulawesi Barat,8,0,7,1,275,5,165,105,Province,,Sulawesi Barat,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73,575,16787,1559984,92.93,119.3450194,-2.461746053,5.13,176.28,0.00,3.21,1.82%,60.00%,4.00,1.00
8,ID-SN,Sulawesi Selatan,107,0,69,38,10364,332,7152,2880,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,11.35,1099.41,0.00,35.22,3.20%,69.01%,1.22,0.00
8,ID-ST,Sulawesi Tengah,0,0,0,0,216,7,195,14,Province,,Sulawesi Tengah,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1,175,175,1842,61841,2955567,47.79,121.2010927,-1.00413668,0.00,73.08,0.00,2.37,3.24%,90.28%,0.00,1.00
8,ID-SG,Sulawesi Tenggara,20,1,3,16,998,17,681,300,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,7.59,378.68,0.38,6.45,1.70%,68.24%,0.74,
8,ID-SA,Sulawesi Utara,20,0,88,-68,2860,138,1575,1147,Province,,Sulawesi Utara,Indonesia,Asia,Sulawesi,UTC+08:00,,11,4,171,332,1507,13892,2641884,190.17,124.5212396,1.259638212,7.57,1082.56,0.00,52.24,4.83%,55.07%,1.11,0.00
8,ID-SB,Sumatera Barat,23,0,5,18,1102,34,802,266,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7,179,230,928,42013,5519245,131.37,100.4650624,-0.850253225,4.17,199.66,0.00,6.16,3.09%,72.78%,0.56,1.00
8,ID-SS,Sumatera Selatan,52,2,71,-21,3675,185,2170,1320,Province,,Sumatera Selatan,Indonesia,Asia,Sumatera,UTC+07:00,,13,4,241,387,2853,91592,8217551,89.72,104.1694647,-3.216211808,6.33,447.21,0.24,22.51,5.03%,59.05%,2.48,0.50
8,ID-SU,Sumatera Utara,101,1,124,-24,4794,222,2036,2536,Province,,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,6.79,322.29,0.07,14.92,4.63%,42.47%,0.47,0.11
9,ID-AC,Aceh,44,1,0,43,580,21,91,468,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,8.39,110.53,0.19,4.00,3.62%,15.69%,,
9,ID-BA,Bali,59,0,29,30,3779,49,3269,461,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,13.99,896.31,0.00,11.62,1.30%,86.50%,1.55,1.00
9,ID-BT,Banten,24,0,1,23,2059,96,1474,489,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,2.24,192.03,0.00,8.95,4.66%,71.59%,1.09,0.00
9,ID-BE,Bengkulu,9,0,0,9,252,21,152,79,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,4.50,126.03,0.00,10.50,8.33%,60.32%,3.00,0.00
9,ID-JK,DKI Jakarta,440,6,558,-124,25727,930,16268,8529,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,40.57,2371.99,0.55,85.74,3.61%,63.23%,0.64,0.55
9,ID-YO,Daerah Istimewa Yogyakarta,8,1,18,-11,862,24,570,268,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,2.20,237.40,0.28,6.61,2.78%,66.13%,0.50,0.50
9,ID-GO,Gorontalo,7,2,0,5,1556,39,1115,402,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,5.93,1317.92,1.69,33.03,2.51%,71.66%,0.09,
9,ID-JA,Jambi,0,0,1,-1,210,4,118,88,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,0.00,60.11,0.00,1.15,1.90%,56.19%,0.00,1.00
9,ID-JB,Jawa Barat,177,4,65,108,7556,228,4416,2912,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,3.92,167.31,0.09,5.05,3.02%,58.44%,0.73,1.33
9,ID-JT,Jawa Tengah,140,3,62,75,10611,723,6633,3255,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,3.85,291.80,0.08,19.88,6.81%,62.51%,1.59,0.27
9,ID-JI,Jawa Timur,408,21,365,22,25330,1877,18090,5363,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,10.08,625.76,0.52,46.37,7.41%,71.42%,0.95,0.95
9,ID-KB,Kalimantan Barat,13,0,6,7,410,4,380,26,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2,174,99,2031,147307,5422814,36.81,111.1211776,-0.086474572,2.40,75.61,0.00,0.74,0.98%,92.68%,,1.00
9,ID-KS,Kalimantan Selatan,98,3,133,-38,6715,306,4026,2383,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2,153,144,1864,38744,4023049,103.84,115.4385783,-2.993594979,24.36,1669.13,0.75,76.06,4.56%,59.96%,1.20,1.50
9,ID-KT,Kalimantan Tengah,30,0,37,-7,2007,96,1414,497,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1,136,139,1432,153565,2570289,16.74,113.4176536,-1.602484653,11.67,780.85,0.00,37.35,4.78%,70.45%,0.45,1.00
9,ID-KI,Kalimantan Timur,53,4,15,34,1887,51,1179,657,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,14.92,531.22,1.13,14.36,2.70%,62.48%,1.51,4.00
9,ID-KU,Kalimantan Utara,2,0,1,1,294,2,266,26,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1,53,35,447,75468,648407,8.59,116.2188791,2.891012621,3.08,453.42,0.00,3.08,0.68%,90.48%,2.00,1.00
9,ID-BB,Kepulauan Bangka Belitung,1,0,1,0,201,2,189,10,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1,47,82,309,16424,1379767,84.01,106.5499324,-2.447444127,0.72,145.68,0.00,1.45,1.00%,94.03%,,1.00
9,ID-KR,Kepulauan Riau,8,1,0,7,534,24,322,188,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,4.15,276.77,0.52,12.44,4.49%,60.30%,0.89,
9,ID-LA,Lampung,0,0,0,0,307,13,226,68,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.70,105.0214366,-4.916792975,0.00,33.75,0.00,1.43,4.23%,73.62%,0.00,1.00
9,ID-MA,Maluku,32,0,1,31,1330,25,791,514,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,17.32,720.05,0.00,13.53,1.88%,59.47%,5.33,1.00
9,ID-MU,Maluku Utara,4,2,0,2,1674,52,854,768,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2,116,118,1063,31983,1307803,40.89,127.5391072,0.212036949,3.06,1280.01,1.53,39.76,3.11%,51.02%,0.09,
9,ID-NB,Nusa Tenggara Barat,27,0,14,13,2290,123,1427,740,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2,117,145,995,18572,5270247,283.77,117.5086257,-8.606998866,5.12,434.51,0.00,23.34,5.37%,62.31%,1.13,0.00
9,ID-NT,Nusa Tenggara Timur,0,0,0,0,152,1,130,21,Province,,Nusa Tenggara Timur,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1,309,327,3026,48718,5411321,111.07,121.592271,-8.682205,0.00,28.09,0.00,0.18,0.66%,85.53%,1.00,1.00
9,ID-PA,Papua,43,0,105,-62,3257,35,1848,1374,Province,,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1,560,110,5411,319036,4340348,13.60,138.69603,-4.66620953,9.91,750.40,0.00,8.06,1.07%,56.74%,,0.00
9,ID-PB,Papua Barat,1,0,0,1,552,6,362,184,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1,218,95,1742,102955,1140701,11.08,132.9762624,-2.045160182,0.88,483.91,0.00,5.26,1.09%,65.58%,0.07,1.00
9,ID-RI,Riau,26,1,9,16,732,14,382,336,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,4.28,120.51,0.16,2.30,1.91%,52.19%,0.52,
9,ID-SR,Sulawesi Barat,0,0,7,-7,275,5,172,98,Province,,Sulawesi Barat,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73,575,16787,1559984,92.93,119.3450194,-2.461746053,0.00,176.28,0.00,3.21,1.82%,62.55%,0.00,1.00
9,ID-SN,Sulawesi Selatan,90,0,58,32,10454,332,7210,2912,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3,311,792,2255,46717,9426885,201.78,120.1620559,-3.731080714,9.55,1108.96,0.00,35.22,3.18%,68.97%,0.84,1.00
9,ID-ST,Sulawesi Tengah,0,0,0,0,216,7,195,14,Province,,Sulawesi Tengah,Indonesia,Asia,Sulawesi,UTC+08:00,,12,1,175,175,1842,61841,2955567,47.79,121.2010927,-1.00413668,0.00,73.08,0.00,2.37,3.24%,90.28%,1.00,1.00
9,ID-SG,Sulawesi Tenggara,22,0,12,10,1020,17,693,310,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2,219,377,1911,38068,2635461,69.23,122.070311,-4.124688793,8.35,387.03,0.00,6.45,1.67%,67.94%,1.10,0.00
